"TIMESTAMP","RECORD","batt_volt_Min","PTemp","test_uVolt","ablato_mMeter"
"2023-06-13 00:00:00",133,14.04,8.3,1574177,6639
"2023-06-13 03:00:00",134,13.6,5.831,1573191,6635
"2023-06-13 06:00:00",135,13.38,4.665,1572840,6633
"2023-06-13 09:00:00",136,14.11,5.485,1572669,6633
"2023-06-13 12:00:00",137,14.01,5.939,1571714,6628
"2023-06-13 15:00:00",138,13.99,6.396,1569419,6619
"2023-06-13 18:00:00",139,13.96,7.444,1568046,6613
"2023-06-13 21:00:00",140,13.95,7.028,1566684,6607
"2023-06-14 00:00:00",141,14.09,5.268,1565854,6603
"2023-06-14 03:00:00",142,13.69,3.443,1565172,6600
"2023-06-14 06:00:00",143,13.46,2.971,1564688,6598
"2023-06-14 09:00:00",144,13.69,2.587,1564075,6596
"2023-06-14 12:00:00",145,14.08,3.185,1563227,6592
"2023-06-14 15:00:00",146,13.91,6.177,1561358,6584
"2023-06-14 18:00:00",147,13.68,11.02,1558658,6572
"2023-06-14 21:00:00",148,13.92,8.92,1556013,6561
"2023-06-15 00:00:00",149,14.11,7.356,1554760,6556
"2023-06-15 03:00:00",150,13.66,4.923,1554267,6554
"2023-06-15 06:00:00",151,13.44,3.721,1553586,6551
"2023-06-15 09:00:00",152,14.25,2.652,1553510,6550
"2023-06-15 12:00:00",153,14.04,3.807,1552224,6545
"2023-06-15 15:00:00",154,13.59,12.49,1549524,6533
"2023-06-15 18:00:00",155,13.7,13.99,1546559,6521
"2023-06-15 21:00:00",156,13.77,14.18,1544510,6512
"2023-06-16 00:00:00",157,13.83,11.02,1542993,6505
"2023-06-16 03:00:00",158,13.71,5.722,1542636,6504
"2023-06-16 06:00:00",159,13.42,2.162,1542397,6503
"2023-06-16 09:00:00",160,14.21,1.841,1542525,6503
"2023-06-16 12:00:00",161,13.86,6.068,1541489,6499
"2023-06-16 15:00:00",162,13.53,16.59,1538356,6485
"2023-06-16 18:00:00",163,13.4,17.46,1535556,6473
"2023-06-16 21:00:00",164,13.62,13.8,1533150,6463
"2023-06-17 00:00:00",165,13.9,11.24,1531755,6457
"2023-06-17 03:00:00",166,13.75,5.657,1531591,6456
"2023-06-17 06:00:00",167,13.43,2.736,1531356,6455
"2023-06-17 09:00:00",168,14.21,1.755,1531276,6455
"2023-06-17 12:00:00",169,13.9,6.635,1530406,6451
"2023-06-17 15:00:00",170,13.57,14.52,1528170,6442
"2023-06-17 18:00:00",171,13.37,16.64,1524724,6427
"2023-06-17 21:00:00",172,13.53,13.61,1522060,6415
"2023-06-18 00:00:00",173,13.9,11.82,1520272,6408
"2023-06-18 03:00:00",174,13.7,6.33,1519856,6406
"2023-06-18 06:00:00",175,13.4,2.93,1520448,6408
"2023-06-18 09:00:00",176,14.24,1.629,1520027,6407
"2023-06-18 12:00:00",177,13.86,8.44,1518992,6402
"2023-06-18 15:00:00",178,13.55,15.77,1517018,6394
"2023-06-18 18:00:00",179,13.4,16.54,1513878,6380
"2023-06-18 21:00:00",180,13.47,16.27,1511053,6368
"2023-06-19 00:00:00",181,13.86,12.91,1509148,6360
"2023-06-19 03:00:00",182,13.62,7.225,1509452,6361
"2023-06-19 06:00:00",183,13.37,3.655,1509296,6361
"2023-06-19 09:00:00",184,14.24,2.182,1508993,6359
"2023-06-19 12:00:00",185,13.83,9.75,1507584,6353
"2023-06-19 15:00:00",186,13.48,19.21,1506295,6348
"2023-06-19 18:00:00",187,13.29,20.74,1503537,6336
"2023-06-19 21:00:00",188,13.57,18.3,1500850,6324
"2023-06-20 00:00:00",189,13.9,11.91,1499206,6317
"2023-06-20 03:00:00",190,13.69,5.896,1498968,6316
"2023-06-20 06:00:00",191,13.41,1.99,1498891,6316
"2023-06-20 09:00:00",192,14.28,0.393,1499128,6317
"2023-06-20 12:00:00",193,13.86,8.28,1498552,6315
"2023-06-20 15:00:00",194,13.4,20.15,1496768,6307
"2023-06-20 18:00:00",195,13.32,20.56,1494043,6295
"2023-06-20 21:00:00",196,13.7,16.94,1491368,6284
"2023-06-21 00:00:00",197,13.99,10.65,1490549,6280
"2023-06-21 03:00:00",198,13.76,5.722,1490877,6282
"2023-06-21 06:00:00",199,13.44,2.374,1490547,6280
"2023-06-21 09:00:00",200,14.3,0.926,1490028,6278
"2023-06-21 12:00:00",201,13.94,7.006,1489695,6277
"2023-06-21 15:00:00",202,13.81,10.45,1488166,6270
"2023-06-21 18:00:00",203,14.04,7.618,1486969,6265
"2023-06-21 21:00:00",204,14.1,5.182,1486624,6263
"2023-06-22 00:00:00",205,14.11,4.127,1486113,6261
"2023-06-22 03:00:00",206,13.68,2.822,1485681,6259
"2023-06-22 06:00:00",207,13.48,2.033,1485833,6260
"2023-06-22 09:00:00",208,13.61,2.011,1485372,6258
"2023-06-22 12:00:00",209,14.1,2.822,1485003,6256
"2023-06-22 15:00:00",210,13.94,5.397,1484069,6252
"2023-06-22 18:00:00",211,13.98,7.159,1482201,6244
"2023-06-22 21:00:00",212,13.86,8.13,1480838,6239
"2023-06-23 00:00:00",213,14.04,6.656,1479476,6233
"2023-06-23 03:00:00",214,13.65,4.728,1479297,6232
"2023-06-23 06:00:00",215,13.45,3.206,1478648,6229
"2023-06-23 09:00:00",216,13.97,2.844,1478852,6230
"2023-06-23 12:00:00",217,14.02,3.87,1477935,6226
"2023-06-23 15:00:00",218,13.5,13.26,1476435,6220
"2023-06-23 18:00:00",219,13.79,16.51,1473656,6208
"2023-06-23 21:00:00",220,13.86,11.47,1472160,6201
"2023-06-24 00:00:00",221,13.99,8.37,1470617,6195
"2023-06-24 03:00:00",222,13.73,5.031,1470437,6194
"2023-06-24 06:00:00",223,13.45,2.331,1470738,6195
"2023-06-24 09:00:00",224,14.3,1.032,1470257,6193
"2023-06-24 12:00:00",225,13.92,6.156,1469595,6190
"2023-06-24 15:00:00",226,13.5,18.28,1467506,6181
"2023-06-24 18:00:00",227,13.35,17.04,1465249,6172
"2023-06-24 21:00:00",228,13.57,17.21,1462742,6161
"2023-06-25 00:00:00",229,13.92,11.38,1461944,6157
"2023-06-25 03:00:00",230,13.65,6.678,1461079,6154
"2023-06-25 06:00:00",231,13.41,4.365,1461407,6155
"2023-06-25 09:00:00",232,14.18,3.057,1461120,6154
"2023-06-25 12:00:00",233,13.93,6.308,1460030,6149
"2023-06-25 15:00:00",234,13.64,15.65,1458135,6141
"2023-06-25 18:00:00",235,13.79,13.07,1455862,6131
"2023-06-25 21:00:00",236,13.77,11.29,1453771,6122
"2023-06-26 00:00:00",237,13.97,10.18,1452409,6117
"2023-06-26 03:00:00",238,13.64,5.637,1452370,6116
"2023-06-26 06:00:00",239,13.42,2.46,1452283,6116
"2023-06-26 09:00:00",240,14.24,1.629,1451849,6114
"2023-06-26 12:00:00",241,13.92,4.579,1451355,6112
"2023-06-26 15:00:00",242,13.72,11.54,1449685,6105
"2023-06-26 18:00:00",243,13.42,17.89,1446751,6092
"2023-06-26 21:00:00",244,13.66,17.41,1444369,6082
"2023-06-27 00:00:00",245,14.06,8.86,1443992,6080
"2023-06-27 03:00:00",246,13.62,5.765,1443516,6078
"2023-06-27 06:00:00",247,13.42,3.827,1443175,6077
"2023-06-27 09:00:00",248,14.26,2.907,1442740,6075
"2023-06-27 12:00:00",249,13.99,5.009,1441813,6071
"2023-06-27 15:00:00",250,14.06,6.59,1440470,6065
"2023-06-27 18:00:00",251,13.9,9.93,1438788,6058
"2023-06-27 21:00:00",252,13.83,9.79,1436744,6049
"2023-06-28 00:00:00",253,14.1,6.504,1435870,6046
"2023-06-28 03:00:00",254,13.72,4.966,1435678,6045
"2023-06-28 06:00:00",255,13.46,3.463,1434997,6042
"2023-06-28 09:00:00",256,13.42,3.443,1434998,6042
"2023-06-28 12:00:00",257,14.1,3.549,1434657,6040
"2023-06-28 15:00:00",258,13.94,6.59,1433146,6034
"2023-06-28 18:00:00",259,13.94,7.225,1431783,6028
"2023-06-28 21:00:00",260,13.95,7.049,1430421,6022
"2023-06-29 00:00:00",261,13.95,7.774,1429569,6019
"2023-06-29 03:00:00",262,13.79,4.859,1428863,6015
"2023-06-29 06:00:00",263,13.46,3.463,1428181,6013
"2023-06-29 09:00:00",264,14.29,3.099,1428193,6013
"2023-06-29 12:00:00",265,14.08,3.85,1427501,6010
"2023-06-29 15:00:00",266,13.74,9.17,1425679,6002
"2023-06-29 18:00:00",267,13.98,7.839,1424288,5996
"2023-06-29 21:00:00",268,13.59,12.09,1421859,5985
"2023-06-30 00:00:00",269,14.03,8.46,1420530,5980
"2023-06-30 03:00:00",270,13.66,4.514,1420003,5977
"2023-06-30 06:00:00",271,13.44,2.758,1419563,5976
"2023-06-30 09:00:00",272,14.21,2.053,1419536,5975
"2023-06-30 12:00:00",273,13.86,8.23,1418157,5970
"2023-06-30 15:00:00",274,13.52,16.84,1415795,5959
"2023-06-30 18:00:00",275,13.34,16.61,1411959,5943
"2023-06-30 21:00:00",276,13.68,16.02,1409041,5930
"2023-07-01 00:00:00",277,14.03,10.18,1407287,5923
"2023-07-01 03:00:00",278,13.72,5.354,1407053,5922
"2023-07-01 06:00:00",279,13.43,2.119,1406831,5921
"2023-07-01 09:00:00",280,14.24,0.946,1406851,5921
"2023-07-01 12:00:00",281,13.83,7.882,1405893,5917
"2023-07-01 15:00:00",282,13.66,12.53,1404304,5910
"2023-07-01 18:00:00",283,13.38,14.78,1402163,5901
"2023-07-01 21:00:00",284,13.59,16.79,1399465,5889
"2023-07-02 00:00:00",285,13.95,12.05,1398195,5884
"2023-07-02 03:00:00",286,13.72,6.875,1397717,5882
"2023-07-02 06:00:00",287,13.42,3.978,1397512,5881
"2023-07-02 09:00:00",288,14.15,3.292,1396850,5878
"2023-07-02 12:00:00",289,14.05,4.127,1396831,5878
"2023-07-02 15:00:00",290,13.68,10.54,1395198,5871
"2023-07-02 18:00:00",291,13.72,14.68,1393361,5863
"2023-07-02 21:00:00",292,13.75,11.54,1391447,5855
"2023-07-03 00:00:00",293,14.05,7.927,1389541,5847
"2023-07-03 03:00:00",294,13.6,4.708,1389333,5846
"2023-07-03 06:00:00",295,13.41,4.042,1389333,5846
"2023-07-03 09:00:00",296,13.67,3.526,1389333,5846
"2023-07-03 12:00:00",297,13.97,5.051,1388651,5843
"2023-07-03 15:00:00",298,13.68,10.77,1387025,5836
"2023-07-03 18:00:00",299,13.53,14.06,1384511,5825
"2023-07-03 21:00:00",300,13.76,13.61,1381816,5814
"2023-07-04 00:00:00",301,14.01,9.1,1380935,5810
"2023-07-04 03:00:00",302,13.56,6.091,1380844,5809
"2023-07-04 06:00:00",303,13.39,4.557,1380814,5809
"2023-07-04 09:00:00",304,13.58,3.85,1380302,5807
"2023-07-04 12:00:00",305,13.97,5.982,1379546,5804
"2023-07-04 15:00:00",306,13.37,16.36,1377399,5795
"2023-07-04 18:00:00",307,13.33,19.78,1374276,5781
"2023-07-04 21:00:00",308,13.65,15.68,1370660,5766
"2023-07-05 00:00:00",309,13.94,12.58,1368665,5757
"2023-07-05 03:00:00",310,13.63,7.862,1368420,5756
"2023-07-05 06:00:00",311,13.38,4.685,1368205,5755
"2023-07-05 09:00:00",312,14.21,3.271,1368246,5755
"2023-07-05 12:00:00",313,13.81,9.88,1367274,5751
"2023-07-05 15:00:00",314,13.52,16.36,1365568,5744
"2023-07-05 18:00:00",315,13.53,14.8,1363341,5734
"2023-07-05 21:00:00",316,13.7,13.19,1360689,5723
"2023-07-06 00:00:00",317,13.97,10.13,1359100,5716
"2023-07-06 03:00:00",318,13.61,6.547,1358200,5712
"2023-07-06 06:00:00",319,13.4,4.6,1358323,5713
"2023-07-06 09:00:00",320,14.32,4.042,1357982,5711
"2023-07-06 12:00:00",321,13.95,6.59,1357350,5709
"2023-07-06 15:00:00",322,13.7,10.83,1355695,5702
"2023-07-06 18:00:00",323,13.7,11.84,1352745,5689
"2023-07-06 21:00:00",324,13.86,10.11,1350927,5681
"2023-07-07 00:00:00",325,14.02,7.839,1349343,5674
"2023-07-07 03:00:00",326,13.61,5.831,1348891,5672
"2023-07-07 06:00:00",327,13.42,4.365,1349122,5673
"2023-07-07 09:00:00",328,14.3,3.698,1348440,5670
"2023-07-07 12:00:00",329,13.93,5.982,1348321,5670
"2023-07-07 15:00:00",330,13.72,10.04,1346160,5661
"2023-07-07 18:00:00",331,13.66,11.75,1343230,5648
"2023-07-07 21:00:00",332,13.77,11.13,1340541,5637
"2023-07-08 00:00:00",333,13.99,8.83,1338092,5626
"2023-07-08 03:00:00",334,13.61,6.091,1337835,5625
"2023-07-08 06:00:00",335,13.41,4.493,1338217,5627
"2023-07-08 09:00:00",336,14.19,3.807,1337535,5624
"2023-07-08 12:00:00",337,13.9,7.552,1337081,5622
"2023-07-08 15:00:00",338,13.57,13.68,1335164,5613
"2023-07-08 18:00:00",339,13.57,13.73,1332090,5600
"2023-07-08 21:00:00",340,13.74,12.09,1328906,5587
"2023-07-09 00:00:00",341,13.99,9.41,1327090,5579
"2023-07-09 03:00:00",342,13.63,6.701,1326860,5578
"2023-07-09 06:00:00",343,13.41,4.794,1326631,5577
"2023-07-09 09:00:00",344,14.14,4.385,1325949,5574
"2023-07-09 12:00:00",345,13.86,8.68,1325498,5572
"2023-07-09 15:00:00",346,13.64,13.38,1323263,5562
"2023-07-09 18:00:00",347,13.55,14.18,1320510,5551
"2023-07-09 21:00:00",348,13.68,12.42,1317254,5537
"2023-07-10 00:00:00",349,13.91,9.73,1315511,5529
"2023-07-10 03:00:00",350,13.6,6.787,1314596,5525
"2023-07-10 06:00:00",351,13.4,5.614,1314975,5527
"2023-07-10 09:00:00",352,13.68,5.051,1314363,5524
"2023-07-10 12:00:00",353,13.85,8.75,1313212,5519
"2023-07-10 15:00:00",354,13.64,13.12,1310321,5507
"2023-07-10 18:00:00",355,13.53,13.78,1306914,5492
"2023-07-10 21:00:00",356,13.64,12.6,1303214,5476
"2023-07-11 00:00:00",357,13.88,10.97,1300868,5466
"2023-07-11 03:00:00",358,13.57,8.17,1300289,5464
"2023-07-11 06:00:00",359,13.38,6.156,1299685,5461
"2023-07-11 09:00:00",360,14.15,5.614,1299328,5460
"2023-07-11 12:00:00",361,13.86,9.28,1297804,5453
"2023-07-11 15:00:00",362,13.61,14.66,1295290,5442
"2023-07-11 18:00:00",363,13.63,14.09,1291574,5426
